country,yeild,germany,usa,china,aus,last_upadated
Japan,0.664%,-186.9 bp,-357.1 bp,-190.6 bp,-348.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Switzerland,0.953%,-158.0 bp,-328.2 bp,-161.7 bp,-319.4 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Taiwan,1.183%,-135.0 bp,-305.2 bp,-138.7 bp,-296.4 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Germany,2.533%,,-170.2 bp,-3.7 bp,-161.4 bp,Last Update: 23 Aug 2023 14:15 GMT+0
China,2.570%,3.7 bp,-166.5 bp,,-157.7 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Thailand,2.576%,4.3 bp,-165.9 bp,0.6 bp,-157.1 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Vietnam,2.644%,11.1 bp,-159.1 bp,7.4 bp,-150.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Denmark,2.814%,28.1 bp,-142.1 bp,24.4 bp,-133.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Netherlands,2.881%,34.8 bp,-135.4 bp,31.1 bp,-126.6 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Sweden,2.886%,35.3 bp,-134.9 bp,31.6 bp,-126.1 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Ireland,2.917%,38.4 bp,-131.8 bp,34.7 bp,-123.0 bp,Last Update: 23 Aug 2023 14:15 GMT+0
France,3.056%,52.3 bp,-117.9 bp,48.6 bp,-109.1 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Finland,3.100%,56.7 bp,-113.5 bp,53.0 bp,-104.7 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Austria,3.132%,59.9 bp,-110.3 bp,56.2 bp,-101.5 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Belgium,3.175%,64.2 bp,-106.0 bp,60.5 bp,-97.2 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Portugal,3.227%,69.4 bp,-100.8 bp,65.7 bp,-92.0 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Singapore,3.254%,72.1 bp,-98.1 bp,68.4 bp,-89.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Slovenia,3.433%,90.0 bp,-80.2 bp,86.3 bp,-71.4 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Jordan (*),3.443%,91.0 bp,-79.2 bp,87.3 bp,-70.4 bp,Last Update: 23 Aug 2023 14:15 GMT+0
,Usa ,Aus ,,,,Last Update: 23 Aug 2023 14:15 GMT+0
Spain,3.554%,102.1 bp,-68.1 bp,98.4 bp,-59.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Slovakia,3.670%,113.7 bp,-56.5 bp,110.0 bp,-47.7 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Canada,3.708%,117.5 bp,-52.7 bp,113.8 bp,-43.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Malta,3.774%,124.1 bp,-46.1 bp,120.4 bp,-37.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Greece,3.805%,127.2 bp,-43.0 bp,123.5 bp,-34.2 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Cyprus,3.820%,128.7 bp,-41.5 bp,125.0 bp,-32.7 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Norway,3.876%,134.3 bp,-35.9 bp,130.6 bp,-27.1 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Croatia,3.898%,136.5 bp,-33.7 bp,132.8 bp,-24.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Malaysia,3.912%,137.9 bp,-32.3 bp,134.2 bp,-23.5 bp,Last Update: 23 Aug 2023 14:15 GMT+0
South Korea,3.913%,138.0 bp,-32.2 bp,134.3 bp,-23.4 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Israel,3.929%,139.6 bp,-30.6 bp,135.9 bp,-21.8 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Hong Kong,3.996%,146.3 bp,-23.9 bp,142.6 bp,-15.1 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Australia,4.147%,161.4 bp,-8.8 bp,157.7 bp,,Last Update: 23 Aug 2023 14:15 GMT+0
Lithuania,4.173%,164.0 bp,-6.2 bp,160.3 bp,2.6 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Italy,4.180%,164.7 bp,-5.5 bp,161.0 bp,3.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Mauritius,4.219%,168.6 bp,-1.6 bp,164.9 bp,7.2 bp,Last Update: 23 Aug 2023 14:15 GMT+0
United States,4.235%,170.2 bp,,166.5 bp,8.8 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Morocco,4.258%,172.5 bp,2.3 bp,168.8 bp,11.1 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Bulgaria,4.295%,176.2 bp,6.0 bp,172.5 bp,14.8 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Czech Republic,4.346%,181.3 bp,11.1 bp,177.6 bp,19.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
,Usa ,Aus ,,,,Last Update: 23 Aug 2023 14:15 GMT+0
Latvia (*),4.385%,185.2 bp,15.0 bp,181.5 bp,23.8 bp,Last Update: 23 Aug 2023 14:15 GMT+0
United Kingdom,4.526%,199.3 bp,29.1 bp,195.6 bp,37.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
New Zealand,5.148%,261.5 bp,91.3 bp,257.8 bp,100.1 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Poland,5.653%,312.0 bp,141.8 bp,308.3 bp,150.6 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Chile,5.800%,326.7 bp,156.5 bp,323.0 bp,165.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Serbia,6.077%,354.4 bp,184.2 bp,350.7 bp,193.0 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Bahrain (*),6.662%,412.9 bp,242.7 bp,409.2 bp,251.5 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Philippines,6.684%,415.1 bp,244.9 bp,411.4 bp,253.7 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Indonesia,6.699%,416.6 bp,246.4 bp,412.9 bp,255.2 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Iceland,6.790%,425.7 bp,255.5 bp,422.0 bp,264.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Romania,6.950%,441.7 bp,271.5 bp,438.0 bp,280.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Perù,7.186%,465.3 bp,295.1 bp,461.6 bp,303.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
India,7.194%,466.1 bp,295.9 bp,462.4 bp,304.7 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Botswana (*),7.336%,480.3 bp,310.1 bp,476.6 bp,318.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Hungary,7.530%,499.7 bp,329.5 bp,496.0 bp,338.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Mexico,9.816%,728.3 bp,558.1 bp,724.6 bp,566.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
South Africa,10.275%,774.2 bp,604.0 bp,770.5 bp,612.8 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Namibia,10.396%,786.3 bp,616.1 bp,782.6 bp,624.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Colombia,10.816%,828.3 bp,658.1 bp,824.6 bp,666.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Brazil,11.232%,869.9 bp,699.7 bp,866.2 bp,708.5 bp,Last Update: 23 Aug 2023 14:15 GMT+0
,Usa ,Aus ,,,,Last Update: 23 Aug 2023 14:15 GMT+0
Russia,11.845%,931.2 bp,761.0 bp,927.5 bp,769.8 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Kazakhstan,12.000%,946.7 bp,776.5 bp,943.0 bp,785.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Sri Lanka,12.831%,1029.8 bp,859.6 bp,1026.1 bp,868.4 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Nigeria,14.225%,1169.2 bp,999.0 bp,1165.5 bp,1007.8 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Ukraine (*),15.437%,1290.4 bp,1120.2 bp,1286.7 bp,1129.0 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Uganda,16.033%,1350.0 bp,1179.8 bp,1346.3 bp,1188.6 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Kenya,16.396%,1386.3 bp,1216.1 bp,1382.6 bp,1224.9 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Pakistan,16.850%,1431.7 bp,1261.5 bp,1428.0 bp,1270.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Turkey,18.440%,1590.7 bp,1420.5 bp,1587.0 bp,1429.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Egypt,24.837%,2230.4 bp,2060.2 bp,2226.7 bp,2069.0 bp,Last Update: 23 Aug 2023 14:15 GMT+0
Zambia,30.060%,2752.7 bp,2582.5 bp,2749.0 bp,2591.3 bp,Last Update: 23 Aug 2023 14:15 GMT+0
